,genes,ci_test_results,z_test_results,z_test_p_values,mean_diff
5539,OR2T4,False,False,0.5732214378954623,0.5190917137083318
5540,SYT13,True,False,0.16168802135270322,3.1596039279054002
5541,SETD4,False,False,0.7845677607495469,-0.303876619337931
5542,HMBS,False,False,0.08358071075434276,3.7605523924275914
5543,DNAJC19,False,False,0.29844585432730764,-4.587714614413798
5544,ACSS1,False,False,0.18215661913503167,-5.193681750772413
5545,SLC39A2,False,False,0.44815820576303056,0.4790618485723792
5546,EXOSC9,False,False,0.10256959199831113,4.388865431172405
5547,SLC15A3,False,False,0.17301895784033794,-8.587209327355865
5548,PIP4K2B,True,True,0.0187456218163168,-3.0107310560965495
5549,RIIAD1,False,False,0.3743101910323289,3.4495555677652927
5550,SMIM10L2B,False,False,0.7749436406194592,0.2609361246663592
5551,TBX1,False,False,0.498656340041168,1.1186630741071033
5552,SERPINE1,False,False,0.6846481227916954,-26.053996993349273
5553,ITGAL,True,True,1.53425155011551e-26,-141.89765976964145
5554,IFNA8,True,True,0.010802156193746927,166.83943854861272
5555,TNFSF13B,False,False,0.061282454773196174,-9.731992345996556
5556,RUSC1,False,True,0.026524157275246797,-3.4155125334896574
5557,ZNF350,False,False,0.9481661728869144,0.10251326992413468
5558,ADAM18,False,False,0.3700939233143823,2.354136848414128
5559,PNPLA3,False,False,0.3108817794983746,2.61785697802627
5560,LSG1,False,False,0.7174634165384871,1.2745000622138
5561,VNN2,False,False,0.12036372425019205,-16.704991954089664
5562,NES,False,True,0.04943512464389184,-7.946571800225794
5563,BLOC1S6,False,False,0.3131485677044771,5.682714566000001
5564,TRIQK,False,False,0.9836382481441628,0.03892829312137813
5565,TMEM218,False,True,0.0010138837581046745,-5.5833742927586165
5566,BRD7,True,True,4.76340230377921e-09,-13.530989805517251
5567,TSACC,False,True,0.007702918595671147,-1.851290701368689
5568,FAM69B,False,True,0.03305489621779471,4.763703286239311
5569,TEX38,False,False,0.06330400819828828,-5.663589828642724
5570,ARMC2,False,False,0.9651848319827498,-0.10631046844482839
5571,GLT1D1,False,False,0.2985454301546341,-4.107743281108274
5572,CCNG2,True,True,5.809874373867224e-05,14.783722510275858
5573,TNFSF12-TNFSF13,False,False,0.6983486860880064,0.36533879511993117
5574,ZNF182,False,True,0.010361152676396278,-3.9568556665241363
5575,RP11-347C12.1,False,False,0.3834212837346562,2.16461240586
5576,ADAMTS15,False,False,0.3923579827004998,2.8111701115521126
5577,RP11-766F14.2,False,False,0.5498772902229663,1.6588514220365984
5578,TIMM22,False,False,0.6788610651063585,0.9622438519724152
5579,FAM189B,False,False,0.9915525946945569,-0.024621869503452132
5580,SAMD4B,False,False,0.32744749304208964,15.027662087034457
5581,HLA-DOA,True,True,5.659495573187552e-10,38.65967697267586
5582,MLN,False,False,0.9905647426482429,0.020046765672951494
5583,SLC5A12,False,False,0.37587647601222685,1.2275197263857036
5584,CADPS2,False,False,0.3965148011364853,2.343805708365055
5585,DLX2,False,False,0.9830741408816093,0.06546691812918093
5586,SLIRP,False,False,0.28758481290370175,15.19217274089658
5587,RRNAD1,False,False,0.8997611626120033,0.2277704710827564
5588,AFMID,False,False,0.21826573543555083,3.3550234204068907
5589,RXFP3,False,False,0.5575572072575559,1.4211394555710506
5590,ZNF837,True,False,0.17810000078911703,1.6095531593457935
5591,ANKRD22,False,False,0.6421703814030228,-0.7102838294273308
5592,RORA,True,True,5.687728597273776e-14,-27.956471796857933
5593,CH507-9B2.5,False,False,0.3897970593235327,-2.3529019187586186
5594,SLC23A3,False,False,0.3389588036850596,-1.101614679027172
